# n = 3,,,,,,,,,
fold,tr_refrmse,ts_refrmse,deg,use_wsos,tr_rmse,ts_rmse,time,conv,status
2,1.035478027,1.341559332,4,FALSE,3.748856513,1.594688491,5.492330701,mono,OPTIMAL
2,1.035478027,1.341559332,4,FALSE,2.823412666,1.771967218,0.7015766,conv,OPTIMAL
2,1.035478027,1.341559332,4,FALSE,2.599108672,3.958675001,0.1324676,neither,OPTIMAL
2,1.035478027,1.341559332,5,TRUE,3.69913303,1.554084192,16.7301937,mono,OPTIMAL
2,1.035478027,1.341559332,5,TRUE,2.761201833,1.511544444,11.7528116,conv,OPTIMAL
2,1.035478027,1.341559332,5,TRUE,2.231173151,3.835692423,0.155799601,neither,OPTIMAL
2,1.035478027,1.341559332,5,FALSE,3.699565026,1.553428112,5.7454416,mono,OPTIMAL
2,1.035478027,1.341559332,5,FALSE,2.823412666,1.771967217,0.7416315,conv,OPTIMAL
2,1.035478027,1.341559332,5,FALSE,2.231173151,3.835692423,0.179464599,neither,OPTIMAL
2,1.035478027,1.341559332,6,TRUE,3.671196095,1.513781289,15.8159071,mono,OPTIMAL
2,1.035478027,1.341559332,6,TRUE,2.651517515,4.43102695,19.0831731,conv,OPTIMAL
2,1.035478027,1.341559332,6,TRUE,0.003148145,27.3787669,0.110574401,neither,OPTIMAL
2,1.035478027,1.341559332,6,FALSE,3.682759201,1.531776001,302.0572189,mono,TIME_LIMIT
2,1.035478027,1.341559332,6,FALSE,2.656418554,4.391191727,15.0871778,conv,OPTIMAL
2,1.035478027,1.341559332,6,FALSE,0.003148145,27.3787669,0.104193801,neither,OPTIMAL
3,1.140297011,0.942088806,4,TRUE,3.720857396,1.689272812,5.188426799,mono,OPTIMAL
3,1.140297011,0.942088806,4,TRUE,2.943605384,1.563396317,2.6387308,conv,OPTIMAL
3,1.140297011,0.942088806,4,TRUE,2.832252066,2.47133225,0.150154899,neither,OPTIMAL
3,1.140297011,0.942088806,4,FALSE,3.720849433,1.689242915,5.095270301,mono,OPTIMAL
3,1.140297011,0.942088806,4,FALSE,2.943707405,1.557975786,0.637950599,conv,OPTIMAL
3,1.140297011,0.942088806,4,FALSE,2.832252066,2.47133225,0.149362299,neither,OPTIMAL
3,1.140297011,0.942088806,5,TRUE,3.648049703,1.707526554,15.5699655,mono,OPTIMAL
3,1.140297011,0.942088806,5,TRUE,2.871792399,1.438859438,14.2635326,conv,OPTIMAL
3,1.140297011,0.942088806,5,TRUE,2.035350782,6.768317542,0.187193599,neither,OPTIMAL
3,1.140297011,0.942088806,5,FALSE,3.648337017,1.708894784,5.3094147,mono,OPTIMAL
3,1.140297011,0.942088806,5,FALSE,2.943707405,1.557975785,0.7050387,conv,OPTIMAL
3,1.140297011,0.942088806,5,FALSE,2.035350782,6.768317542,0.187158301,neither,OPTIMAL
3,1.140297011,0.942088806,6,TRUE,3.613982868,1.646814385,15.8384813,mono,OPTIMAL
3,1.140297011,0.942088806,6,TRUE,2.794374791,1.331292569,18.9848568,conv,OPTIMAL
3,1.140297011,0.942088806,6,TRUE,0.003147469,72.9782281,0.111864599,neither,OPTIMAL
3,1.140297011,0.942088806,6,FALSE,3.636773737,1.675631902,302.1404658,mono,TIME_LIMIT
3,1.140297011,0.942088806,6,FALSE,2.799091111,1.377225733,13.0481121,conv,OPTIMAL
3,1.140297011,0.942088806,6,FALSE,0.003147469,72.9782281,0.115607599,neither,OPTIMAL
4,1.192663319,0.631551456,4,TRUE,3.750165719,1.889008691,5.8032693,mono,OPTIMAL
4,1.192663319,0.631551456,4,TRUE,2.863792177,1.946630557,2.6960821,conv,OPTIMAL
4,1.192663319,0.631551456,4,TRUE,2.709206571,2.930180218,0.129159599,neither,OPTIMAL
4,1.192663319,0.631551456,4,FALSE,3.750161552,1.889023417,5.5990867,mono,OPTIMAL
4,1.192663319,0.631551456,4,FALSE,2.864433981,1.936155939,0.588915999,conv,OPTIMAL
4,1.192663319,0.631551456,4,FALSE,2.709206571,2.930180218,0.145017,neither,OPTIMAL
4,1.192663319,0.631551456,5,TRUE,3.6867707,1.973736609,16.9069607,mono,OPTIMAL
4,1.192663319,0.631551456,5,TRUE,2.793351593,2.375312562,14.7659865,conv,OPTIMAL
4,1.192663319,0.631551456,5,TRUE,2.334138316,7.547208763,0.231881701,neither,OPTIMAL
4,1.192663319,0.631551456,5,FALSE,3.687055419,1.977968529,6.0004133,mono,OPTIMAL
4,1.192663319,0.631551456,5,FALSE,2.864433981,1.93615594,0.6252311,conv,OPTIMAL
4,1.192663319,0.631551456,5,FALSE,2.334138316,7.547208763,0.241242501,neither,OPTIMAL
4,1.192663319,0.631551456,6,TRUE,3.663168158,1.937306045,17.987069,mono,OPTIMAL
4,1.192663319,0.631551456,6,TRUE,2.71317487,3.797911478,21.5481209,conv,OPTIMAL
4,1.192663319,0.631551456,6,TRUE,0.003150642,19.99337416,0.096224201,neither,OPTIMAL
4,1.192663319,0.631551456,6,FALSE,3.682180809,1.957327732,303.5479097,mono,TIME_LIMIT
4,1.192663319,0.631551456,6,FALSE,2.715479221,3.766533384,14.5351193,conv,OPTIMAL
4,1.192663319,0.631551456,6,FALSE,0.003150642,19.99337416,0.2116352,neither,OPTIMAL
5,1.07137265,1.223635155,4,TRUE,3.708495114,1.733476603,5.101666101,mono,OPTIMAL
5,1.07137265,1.223635155,4,TRUE,2.78153246,1.396652105,2.579085301,conv,OPTIMAL
5,1.07137265,1.223635155,4,TRUE,2.695763817,1.478056522,0.1405583,neither,OPTIMAL
5,1.07137265,1.223635155,4,FALSE,3.708490912,1.733468071,4.6390617,mono,OPTIMAL
5,1.07137265,1.223635155,4,FALSE,2.781628189,1.395904255,0.6882888,conv,OPTIMAL
5,1.07137265,1.223635155,4,FALSE,2.695763817,1.478056522,0.1370002,neither,OPTIMAL
5,1.07137265,1.223635155,5,TRUE,3.627392352,1.743310508,16.0494258,mono,OPTIMAL
5,1.07137265,1.223635155,5,TRUE,2.705249751,1.370090141,15.414433,conv,OPTIMAL
5,1.07137265,1.223635155,5,TRUE,2.329302139,1.590366065,0.140638601,neither,OPTIMAL
5,1.07137265,1.223635155,5,FALSE,3.628450128,1.743366552,6.444751599,mono,OPTIMAL
5,1.07137265,1.223635155,5,FALSE,2.781628189,1.395904255,0.7842656,conv,OPTIMAL
5,1.07137265,1.223635155,5,FALSE,2.329302139,1.590366065,0.153270299,neither,OPTIMAL
5,1.07137265,1.223635155,6,TRUE,3.592700721,1.708632838,18.3666391,mono,OPTIMAL
5,1.07137265,1.223635155,6,TRUE,2.626514217,1.408846014,18.3529106,conv,OPTIMAL
5,1.07137265,1.223635155,6,TRUE,0.003158458,23.51580506,0.102533,neither,OPTIMAL
5,1.07137265,1.223635155,6,FALSE,3.610904633,1.716359733,303.1742438,mono,TIME_LIMIT
5,1.07137265,1.223635155,6,FALSE,2.632839667,1.423803055,13.7635461,conv,OPTIMAL
5,1.07137265,1.223635155,6,FALSE,0.003158458,23.51580506,0.1130135,neither,OPTIMAL
1,1.070450022,1.226860799,3,TRUE,3.698896486,1.97272576,23.0440841,mono,OPTIMAL
1,1.070450022,1.226860799,3,TRUE,2.941854103,1.621095451,3.1740657,conv,OPTIMAL
1,1.070450022,1.226860799,3,TRUE,2.914130437,1.62291782,0.1605471,neither,OPTIMAL
1,1.070450022,1.226860799,3,FALSE,3.698910385,1.972744675,7.1854089,mono,OPTIMAL
1,1.070450022,1.226860799,3,FALSE,3.02370865,1.609367196,2.487755899,conv,OPTIMAL
1,1.070450022,1.226860799,3,FALSE,2.914130437,1.62291782,0.417821099,neither,OPTIMAL
2,1.035478027,1.341559332,3,TRUE,3.797681423,1.653392361,5.013359499,mono,OPTIMAL
2,1.035478027,1.341559332,3,TRUE,3.046338,1.227958945,2.918475901,conv,OPTIMAL
2,1.035478027,1.341559332,3,TRUE,3.024835018,1.146407112,0.153546501,neither,OPTIMAL
2,1.035478027,1.341559332,3,FALSE,3.797687649,1.653405278,0.8568014,mono,OPTIMAL
2,1.035478027,1.341559332,3,FALSE,3.147537563,1.205906184,0.210059301,conv,OPTIMAL
2,1.035478027,1.341559332,3,FALSE,3.024835018,1.146407112,0.142450801,neither,OPTIMAL
3,1.140297011,0.942088806,3,TRUE,3.787748137,1.673453122,4.8607625,mono,OPTIMAL
3,1.140297011,0.942088806,3,TRUE,3.117488084,0.959728918,2.3246646,conv,OPTIMAL
3,1.140297011,0.942088806,3,TRUE,3.080966092,0.997969324,0.1722643,neither,OPTIMAL
3,1.140297011,0.942088806,3,FALSE,3.78776205,1.673478038,0.872956799,mono,OPTIMAL
3,1.140297011,0.942088806,3,FALSE,3.220820183,0.997212602,0.2358085,conv,OPTIMAL
3,1.140297011,0.942088806,3,FALSE,3.080966092,0.997969324,0.170226299,neither,OPTIMAL
4,1.192663319,0.631551456,3,TRUE,3.792958826,1.865970269,4.1137291,mono,OPTIMAL
4,1.192663319,0.631551456,3,TRUE,3.094842486,1.141749576,2.9318346,conv,OPTIMAL
4,1.192663319,0.631551456,3,TRUE,3.00097858,1.498490745,0.1971282,neither,OPTIMAL
4,1.192663319,0.631551456,3,FALSE,3.792969458,1.865985566,0.8554611,mono,OPTIMAL
4,1.192663319,0.631551456,3,FALSE,3.227833841,1.040321189,0.2308961,conv,OPTIMAL
4,1.192663319,0.631551456,3,FALSE,3.00097858,1.498490745,0.2031483,neither,OPTIMAL
5,1.07137265,1.223635155,3,TRUE,3.781206456,1.712362981,4.941064501,mono,OPTIMAL
5,1.07137265,1.223635155,3,TRUE,2.929504099,1.430256573,1.902994799,conv,OPTIMAL
5,1.07137265,1.223635155,3,TRUE,2.880033162,1.494082035,0.141055,neither,OPTIMAL
5,1.07137265,1.223635155,3,FALSE,3.781206851,1.712361971,0.8346964,mono,OPTIMAL
5,1.07137265,1.223635155,3,FALSE,3.069521456,1.406022928,0.2141783,conv,OPTIMAL
5,1.07137265,1.223635155,3,FALSE,2.880033162,1.494082035,0.1491681,neither,OPTIMAL
